student_id,standard,subject,parent_involvement,term_marks,study_time,quiz_accuracy,assignment_score,attendance_rate,total_attendance_days,video_completion,practice_attempts,session_consistency,pause_frequency,rewind_frequency,extracurricular_hours,discipline_incidents,engagement_score,risk_level
1024,12th,Computer Science,Medium,49,103,0.9444117900300693,55,0.3658215236939587,80,0.5958800948256373,14,5,3,2,5,1,0.5623520379302549,MEDIUM
1025,12th,History,High,60,33,0.1398634485238835,47,0.49746941331015526,109,0.8647039807540291,13,5,1,5,12,3,0.563214925634945,HIGH
1026,10th,Science,Low,63,101,0.7747684807805362,58,0.7428801772027551,163,0.9243950509037305,10,4,7,3,9,1,0.6377580203614922,MEDIUM
1027,10th,Mathematics,High,56,126,0.16428049398204173,96,0.4528674911794268,99,0.2015744179467144,12,3,9,1,12,1,0.4086297671786858,HIGH
1028,10th,English,High,25,213,0.5205662227225715,62,0.7532756677898351,165,0.6118944198313009,6,7,0,2,4,0,0.6087577679325205,MEDIUM
1029,12th,Mathematics,Medium,56,295,0.25787016248986994,50,0.9461225195576706,208,0.9265675802259111,10,3,1,3,7,0,0.897293698757031,MEDIUM
1030,12th,English,High,20,178,0.22698801678603275,21,0.3034582135034701,66,0.22126598664318473,8,7,5,0,10,0,0.4325063946572739,HIGH
1031,9th,English,Medium,29,79,0.21330817888755257,61,0.8500395038109008,187,0.4715734359672157,1,1,8,6,18,2,0.3072960410535529,HIGH
1032,9th,Science,Medium,45,140,0.5075079730258082,50,0.7489232161142317,164,0.18017215421581356,2,7,9,4,18,3,0.28540219501965874,HIGH
1033,12th,Science,Low,36,30,0.5639364184485631,80,0.33264293391365457,73,0.20212876180876366,3,3,4,8,3,2,0.16085150472350548,HIGH
1034,10th,Mathematics,Low,83,62,0.2200460441885559,75,0.8531169960716543,187,0.91369973130358,7,5,4,5,9,1,0.541479892521432,MEDIUM
1035,10th,English,Low,46,47,0.9814561572396155,33,0.4571647245959917,100,0.5015616263474441,0,3,2,7,8,3,0.2632913172056443,HIGH
1036,9th,Mathematics,Low,94,86,0.3319892981760008,33,0.48607437850583735,106,0.7198656886041387,8,7,7,8,6,3,0.5092796087749888,MEDIUM
1037,12th,History,Medium,87,60,0.5129572056425049,48,0.36546097772856134,80,0.22502298091918,4,6,5,5,17,1,0.22334252570100538,HIGH
1038,9th,Mathematics,High,37,273,0.2946426018417172,100,0.6740658707402816,148,0.11975273415348021,3,7,9,6,8,1,0.4519010936613922,HIGH
1039,9th,Computer Science,Low,69,283,0.544530380904591,69,0.6487566181877586,142,0.9014355616139775,12,6,1,5,5,2,0.8979075579789244,MEDIUM
1040,11th,Mathematics,Low,84,79,0.7804149242186638,69,0.5430221544354022,119,0.6170910755941197,7,3,4,5,5,0,0.44550309690431456,MEDIUM
1041,11th,Computer Science,Low,39,179,0.5689918128650457,82,0.4181276654367411,91,0.11798898001390618,13,5,3,1,12,0,0.4591955920055625,MEDIUM
1042,11th,Computer Science,High,81,271,0.3570839836462497,92,0.8865674881493459,195,0.9931055328351883,8,7,10,4,16,1,0.8652422131340753,LOW
1043,10th,Computer Science,Low,94,76,0.3235569478605443,84,0.9134649010473701,200,0.5429731447123822,2,4,9,5,14,0,0.3451892578849529,MEDIUM
1044,12th,History,High,78,220,0.7830409656043481,87,0.6784057274995705,149,0.5282888573487483,13,5,8,4,8,3,0.6779822096061661,MEDIUM
1045,12th,Mathematics,Medium,44,281,0.20641435815363696,90,0.4709577335195647,103,0.6588227658903592,3,3,3,3,5,2,0.6781957730228104,HIGH
1046,12th,Mathematics,Medium,84,27,0.43296984496528257,30,0.36727704598907873,80,0.1071140807759159,0,3,7,5,16,0,0.07884563231036637,HIGH
1047,12th,History,Medium,84,76,0.23633444498849682,33,0.9079809172440938,199,0.612224536335796,14,1,0,5,4,1,0.5328898145343184,MEDIUM
1048,11th,English,High,86,163,0.33217824636503374,22,0.367236903712688,80,0.6665355135906911,11,5,4,7,2,1,0.6306142054362764,MEDIUM
1049,10th,Science,Low,77,8,0.23741490923645697,27,0.3092260264246159,68,0.36725821129276537,13,1,8,7,15,0,0.33090328451710616,HIGH
1050,10th,Mathematics,Low,59,174,0.8980952576881841,62,0.6285783041370471,138,0.7541671687914686,2,1,2,0,1,1,0.560333534183254,MEDIUM
1051,11th,Science,Low,66,75,0.7587137791117287,28,0.811889715385534,178,0.439688634596171,9,2,10,1,19,1,0.39587545383846845,MEDIUM
1052,10th,History,Low,62,244,0.6048345214398352,38,0.6202759031339284,136,0.7459958210123262,4,6,5,0,2,3,0.6770649950715971,MEDIUM
1053,11th,English,Low,27,121,0.3019827002459798,31,0.33598742489057526,73,0.22944266060726287,14,1,10,6,8,2,0.4397770642429052,HIGH
1054,12th,English,High,81,184,0.5592041444792754,46,0.7830203793952759,172,0.9223280344369161,12,6,9,7,18,2,0.7742645471080998,MEDIUM
1055,11th,English,Medium,53,31,0.5687498858028152,77,0.7496328343904957,164,0.8915116362906341,7,3,5,2,13,0,0.49127132118292033,MEDIUM
1056,12th,History,Low,27,249,0.6313633530885155,44,0.7770708117871884,170,0.23556382847899354,15,7,10,2,13,3,0.6262255313915974,MEDIUM
1057,12th,Computer Science,Medium,44,56,0.1540766415004583,64,0.4478417439443346,98,0.9446085433769689,13,3,5,6,16,3,0.6258434173507876,HIGH
1058,9th,Computer Science,High,45,143,0.9756117740770357,67,0.8569888864016393,188,0.6020022454905465,0,2,3,7,7,3,0.4314675648628853,MEDIUM
1059,11th,Science,High,73,83,0.5188950735402909,69,0.6354177482236933,139,0.7314847105284715,0,2,6,5,16,3,0.4032605508780553,HIGH
1060,9th,Computer Science,Low,60,55,0.9338785966891929,100,0.6754469674133081,148,0.8562644131388757,2,7,2,7,16,1,0.44250576525555035,MEDIUM
1061,11th,Computer Science,High,99,278,0.10882730324257872,63,0.6820810067579743,150,0.1752129523720033,15,5,5,1,6,0,0.6407518476154681,MEDIUM
1062,11th,English,Medium,91,272,0.322802556071778,78,0.5007645059498407,110,0.2523559217195499,8,7,9,6,8,2,0.5702757020211533,MEDIUM
1063,9th,English,Low,82,165,0.19359601328200204,52,0.4750938730359296,104,0.36135182933736565,8,2,4,4,3,2,0.47120739840161296,HIGH
1064,9th,Science,Low,91,157,0.7926545596192944,97,0.30333629133707546,66,0.5294840332483123,0,4,2,5,9,3,0.42112694663265826,MEDIUM
1065,11th,Mathematics,Medium,94,248,0.38811254463524014,47,0.5776272394387802,127,0.4114490556688666,3,3,1,6,3,2,0.5352462889342133,HIGH
1066,10th,Science,Low,26,185,0.8564432575741723,37,0.6395720887573457,140,0.5552617392478477,11,3,0,8,4,0,0.6154380290324725,MEDIUM
1067,12th,Science,Low,88,77,0.8491468291442713,74,0.8199626219587091,180,0.26732532460936265,7,6,7,6,1,2,0.30293012984374507,MEDIUM
1068,9th,History,Medium,69,21,0.7010153135259128,52,0.34663887266100996,76,0.7139387259398482,1,2,0,0,14,1,0.3269088237092726,HIGH
1069,12th,History,Low,62,107,0.6992036231895794,34,0.946792588679098,208,0.15016139306535806,15,6,4,4,8,3,0.4027312238928099,MEDIUM
1070,10th,Science,Low,36,272,0.7301437228658215,80,0.484770927772929,106,0.4253045555871654,3,2,4,3,8,2,0.5727884889015329,HIGH
1071,10th,Science,Medium,40,251,0.706387451166797,30,0.5567044830897734,122,0.2611299202040103,15,3,0,7,0,0,0.6391186347482708,MEDIUM
1072,10th,Science,High,25,14,0.44821752191591413,55,0.3338537259166833,73,0.7569399446836124,6,2,8,6,11,2,0.40144264454011164,HIGH
1073,9th,Computer Science,Medium,90,159,0.7145448801116914,34,0.7571954875726863,166,0.8952880049469202,6,5,4,3,12,0,0.6501152019787682,MEDIUM
1074,10th,History,Low,94,204,0.9076662722731228,72,0.7962459581729068,175,0.1709075882831274,4,2,8,2,19,1,0.3936963686465843,MEDIUM
1075,9th,Science,Medium,57,112,0.3993161426889613,81,0.9501538521028359,209,0.80653407027976,6,2,10,5,12,2,0.5519469614452375,MEDIUM
1076,10th,English,Low,82,167,0.9504001235934583,67,0.5357803023206601,117,0.906150064349892,5,7,5,7,13,3,0.6517933590732902,MEDIUM
1077,12th,English,Low,31,252,0.11222342910889277,34,0.4801581109147634,105,0.9765731949526496,1,5,6,2,9,0,0.7399626113143932,HIGH
1078,12th,Computer Science,Medium,41,185,0.4141742844387135,82,0.8082605524996094,177,0.6214476258505801,8,5,6,4,16,1,0.6019123836735655,MEDIUM
1079,11th,Computer Science,Low,22,226,0.2188885615558662,62,0.7947606219100495,174,0.3946526974066661,4,5,1,0,16,3,0.5125277456293331,HIGH
1080,12th,Mathematics,High,38,15,0.21395784614052132,69,0.9559868404973708,210,0.3897762398805972,1,6,4,7,13,1,0.18924382928557223,HIGH
1081,11th,Mathematics,Low,62,155,0.8338865446104115,79,0.44372303696329873,97,0.4410730713650074,5,3,1,6,16,2,0.4497625618793363,MEDIUM
1082,12th,Mathematics,Medium,86,110,0.9265314832751106,78,0.7937048358861746,174,0.6514006665948642,9,7,3,7,18,1,0.5272269333046123,LOW
1083,9th,Computer Science,High,24,0,0.7999824288096871,34,0.34680800403254797,76,0.5412070109252125,4,2,2,1,2,1,0.26981613770341834,HIGH
1084,12th,Computer Science,High,48,40,0.9789541470933039,48,0.636257674730053,139,0.6882715237661515,1,5,10,6,3,0,0.3419752761731273,MEDIUM
1085,11th,Computer Science,Low,24,47,0.29469607314964363,94,0.3835735440859958,84,0.13538248617661855,12,5,5,3,10,0,0.27681966113731415,HIGH
1086,11th,English,Medium,64,107,0.22671992098872143,59,0.7572021916661302,166,0.19529339534300233,9,3,10,1,15,3,0.3407840248038676,HIGH
1087,10th,Computer Science,Low,73,160,0.5686334038356522,50,0.72102673318418,158,0.978885549484085,9,4,4,8,12,3,0.7248875531269674,MEDIUM
1088,9th,English,Low,43,160,0.8461338532683561,92,0.33418305354081,73,0.9958469519676147,6,2,0,4,17,0,0.6916721141203792,MEDIUM
1089,12th,Mathematics,Medium,40,127,0.13585518175425373,30,0.5237324758093292,115,0.7719929354254509,9,4,1,6,10,2,0.5981305075035137,HIGH
1090,10th,Mathematics,Medium,51,209,0.9960090948998938,100,0.5765235425937268,126,0.3307574351629269,12,4,6,3,10,1,0.5709696407318374,MEDIUM
1091,12th,Mathematics,Low,24,150,0.6420213362847905,81,0.4736421886590751,104,0.9580435609604949,1,5,8,3,8,2,0.5965507577175313,MEDIUM
1092,12th,Science,High,81,254,0.9810476309632397,94,0.32706903081316707,71,0.29233251441253316,15,6,0,2,1,2,0.6555996724316799,MEDIUM
1093,10th,Science,Low,37,217,0.42857346991039924,27,0.5231753272742412,115,0.7582881901848452,6,3,3,0,2,3,0.6726486094072714,HIGH
1094,10th,History,High,54,29,0.5122214384802304,70,0.85483743101558,188,0.20373248052283494,13,2,10,1,13,0,0.293492992209134,MEDIUM
1095,10th,History,Low,99,44,0.7771252981576529,76,0.5520763620141498,121,0.6840140487038507,5,2,2,8,15,1,0.3989389528148737,MEDIUM
1096,10th,History,Medium,24,79,0.8134304055051867,23,0.5263588286640473,115,0.7835635030205224,11,2,10,0,7,2,0.5654254012082089,MEDIUM
1097,10th,Science,High,28,38,0.30972974801521624,55,0.9592271965381092,211,0.8736761301292744,11,6,4,4,15,2,0.5468037853850432,MEDIUM
1098,12th,Science,Medium,23,239,0.9368209776769505,38,0.3291415031001509,72,0.7608755257192095,3,4,4,1,3,2,0.6630168769543505,HIGH
1099,10th,History,Medium,52,44,0.8806808096512557,43,0.837101736949388,184,0.9311368198199067,3,1,9,3,8,2,0.47112139459462943,MEDIUM
1100,9th,History,Medium,41,77,0.11638477279287872,60,0.6381655188200449,140,0.5688309321106525,15,3,9,6,3,0,0.5301990395109277,MEDIUM
1101,11th,Computer Science,Medium,78,287,0.21571129526966476,68,0.9611237552573784,211,0.7096857462039949,11,1,10,4,12,2,0.8132076318149315,MEDIUM
1102,10th,History,Medium,30,279,0.5464873957663606,65,0.5754295209143743,126,0.4325950765795168,5,4,1,0,1,3,0.6117046972984734,HIGH
1103,10th,Computer Science,Low,88,115,0.5148599627018644,55,0.7956296359038653,175,0.10935050436038127,8,5,4,2,17,0,0.30374020174415256,MEDIUM
1104,12th,English,High,29,268,0.7375517695313518,29,0.3489547550733604,76,0.7810236599206063,9,1,3,8,4,1,0.7897427973015759,MEDIUM
1105,10th,Science,Low,22,52,0.18074023844773063,97,0.9501406979087168,209,0.8828745830840851,5,1,0,0,16,2,0.48914983323363403,MEDIUM
1106,10th,History,Low,34,67,0.6803697760274139,26,0.5411798667590147,119,0.2565320293087543,5,3,0,3,9,0,0.2586128117235017,HIGH
1107,10th,Science,Low,56,181,0.6547329380211241,31,0.6668032030490005,146,0.125776676498762,10,4,0,4,3,0,0.4249773372661715,MEDIUM
1108,12th,Science,Medium,59,33,0.3102576386302399,67,0.39693712613407695,87,0.24805166095131728,0,3,7,2,5,2,0.1432206643805269,HIGH
1109,10th,Science,Low,36,283,0.5881545678415595,56,0.9618905098541686,211,0.9057603639153602,4,5,2,2,9,0,0.7929708122328109,MEDIUM
1110,11th,English,High,39,248,0.2999864862963838,94,0.7710792827509254,169,0.3659593504341968,14,6,8,0,16,2,0.663717073507012,MEDIUM
1111,12th,Mathematics,Low,23,110,0.2322307243905457,55,0.33776323378527856,74,0.31033370336830457,0,6,9,5,4,3,0.2708001480139885,HIGH
1112,11th,History,Medium,53,93,0.6158214411886634,79,0.40864474542549833,89,0.11313084235889473,10,6,1,3,6,3,0.3025856702768912,MEDIUM
1113,12th,Mathematics,High,53,178,0.9797268504705133,96,0.5798837983498548,127,0.3673496324890596,13,2,8,7,4,0,0.5576065196622906,MEDIUM
1114,10th,Mathematics,High,86,46,0.31324001425457054,27,0.4517397086689902,99,0.7440751693200126,8,6,10,5,7,3,0.4656300677280051,HIGH
1115,11th,Mathematics,High,47,281,0.4198025344196368,26,0.5132378986614314,112,0.9631803595385977,9,7,8,2,0,0,0.8799388104821059,MEDIUM
1116,12th,Science,High,98,91,0.33091590339104204,62,0.9982438126133235,219,0.38146710919386995,3,6,3,6,1,3,0.3139201770108814,MEDIUM
1117,9th,Computer Science,Low,55,211,0.3398138394818453,77,0.7610540880048617,167,0.3166167881896239,1,4,3,2,15,1,0.4213133819425162,HIGH
1118,10th,Science,Medium,54,74,0.4637729207680126,100,0.9455523216201163,208,0.8992621184163708,8,7,3,8,7,2,0.5650381806998817,MEDIUM
1119,12th,Science,High,60,201,0.7316699595855581,65,0.6050588623980303,133,0.8672543657490057,5,6,0,7,14,1,0.6815684129662689,MEDIUM
1120,9th,Mathematics,High,78,296,0.13492407162785064,53,0.7971975991433975,175,0.3953443781293178,13,6,4,2,10,0,0.7261377512517272,MEDIUM
1121,12th,Science,Medium,93,210,0.9614117761170041,91,0.621783204512902,136,0.1619246383813486,10,5,5,1,15,2,0.47810318868587276,MEDIUM
1122,9th,Mathematics,Low,36,133,0.14165189154032276,41,0.5297571799985168,116,0.9927904964200683,12,5,3,2,6,1,0.7344495319013608,MEDIUM
1123,10th,Computer Science,High,49,65,0.8931278637501038,40,0.6634212025507393,145,0.7126338587156064,9,1,7,3,16,2,0.49172021015290923,MEDIUM
1124,11th,History,Low,73,279,0.904940288885799,34,0.5991177292512406,131,0.9339224473757208,2,7,2,2,2,3,0.772235645616955,MEDIUM
1125,9th,Mathematics,Low,71,27,0.572040268832371,24,0.9863784540764855,217,0.40768702688751535,12,3,10,8,14,2,0.3590748107550062,MEDIUM
1126,12th,Computer Science,Low,91,116,0.22329714575707071,36,0.6473164836514806,142,0.6829168771746947,11,1,8,1,3,1,0.5745000842032113,MEDIUM
1127,10th,History,Low,42,113,0.6086313735012494,91,0.8677791930291567,190,0.7070475071859516,1,1,6,7,2,1,0.4468190028743806,MEDIUM
1128,9th,English,High,38,74,0.6657689439125647,38,0.7667736278070939,168,0.8856149207850271,5,2,7,6,10,1,0.5195793016473442,MEDIUM
1129,12th,Mathematics,High,56,201,0.8719830620264002,24,0.6357390660521958,139,0.9937522334044037,9,3,6,0,1,0,0.7855008933617614,MEDIUM
1130,12th,Mathematics,Low,78,58,0.5958058381926128,42,0.6319050507264352,139,0.197799560671588,5,2,8,5,6,1,0.2231198242686352,HIGH
1131,12th,English,Low,55,14,0.4696384563130044,33,0.5393230819434263,118,0.6680051608873883,13,6,1,5,14,1,0.4592020643549553,MEDIUM
1132,9th,English,Medium,87,230,0.8544620744687025,29,0.37488726534243927,82,0.4027959535263276,11,5,3,8,13,0,0.6144517147438644,MEDIUM
1133,9th,Mathematics,Medium,45,104,0.9828566176173571,50,0.8330285302561218,183,0.8304925843541098,11,6,1,7,6,3,0.6175303670749772,MEDIUM
1134,9th,English,Medium,46,164,0.68059288464214,32,0.9426663552403773,207,0.7787331862717981,8,2,7,6,16,1,0.6368266078420526,MEDIUM
1135,11th,Science,High,96,198,0.8869483335725286,41,0.45256839826208234,99,0.9032666718015224,4,5,1,6,9,2,0.6786400020539424,MEDIUM
1136,9th,History,Medium,81,34,0.6388616015461578,56,0.9479714457504382,208,0.4093325895524348,10,1,7,4,17,3,0.3423997024876406,MEDIUM
1137,9th,History,High,81,161,0.7208091922692751,58,0.4626129526407947,101,0.2660773097419885,14,6,5,1,13,3,0.5077642572301287,MEDIUM
1138,9th,History,High,71,244,0.7193504057940269,29,0.6710553713886426,147,0.1196215094360477,14,2,6,4,5,2,0.5598486037744191,MEDIUM
1139,11th,Science,High,63,286,0.7343082881562387,50,0.5405353972889965,118,0.3299560153463901,11,6,10,0,18,2,0.659982406138556,MEDIUM
1140,9th,English,High,52,18,0.38891209953577033,62,0.38015615013858073,83,0.43045438577970785,8,3,5,5,9,0,0.3028484209785498,HIGH
1141,12th,Computer Science,Medium,82,279,0.6180952566445411,96,0.3369868624688831,74,0.9514602873531928,12,2,8,1,16,1,0.9125841149412772,MEDIUM
1142,9th,English,Low,91,181,0.6347220255764159,55,0.5557425725009592,122,0.5422353704625275,15,5,3,0,18,2,0.6582274815183444,MEDIUM
1143,12th,Mathematics,Low,99,146,0.3835644640419088,54,0.3331407051846079,73,0.6007955536979106,4,4,0,0,19,0,0.48831822147916426,MEDIUM
1144,12th,History,Low,88,175,0.4148671309332973,87,0.3729445062764959,82,0.8921158858433033,1,6,8,0,16,0,0.603513021003988,MEDIUM
1145,12th,English,Medium,53,162,0.7860220885150433,74,0.3996083051585889,87,0.8965625623877267,0,7,9,3,13,3,0.5746250249550907,MEDIUM
1146,11th,Computer Science,Low,46,174,0.6244514565555243,87,0.3013409943252993,66,0.5751242439068819,8,6,7,4,6,0,0.5687163642294194,MEDIUM
1147,11th,Mathematics,Medium,55,46,0.23429003316685174,66,0.4072765510905574,89,0.2023331488599986,9,7,0,4,18,0,0.2622665928773328,HIGH
1148,11th,Science,Medium,23,255,0.8538732898145851,25,0.7040950762648621,154,0.3434645482131067,6,3,9,0,6,0,0.5573858192852428,MEDIUM
1149,9th,Science,Medium,72,173,0.8948028583668878,47,0.8736661854671555,192,0.51119938000551,2,5,5,5,11,3,0.4618130853355374,MEDIUM
1150,12th,Computer Science,Low,90,102,0.5195270331620327,49,0.43540097158564883,95,0.7760525456600978,14,6,9,2,5,2,0.6330876849307059,MEDIUM
1151,11th,Mathematics,Low,56,120,0.28801668882063425,46,0.3566108226932502,78,0.7405135734962011,11,7,3,3,7,0,0.6028720960651471,MEDIUM
1152,11th,History,Low,98,144,0.9528458458644148,88,0.8106599389051106,178,0.6784374117697888,5,4,10,4,8,1,0.5300416313745822,LOW
1153,9th,English,High,69,41,0.8940426080676186,58,0.3057138980200512,67,0.89222100382211,9,6,1,3,17,3,0.5315550681955107,MEDIUM
1154,11th,Mathematics,Medium,89,28,0.31994357170765464,54,0.8139134714254668,179,0.8223817674764129,3,3,2,3,9,2,0.4062860403238985,MEDIUM
1155,9th,Science,High,45,272,0.18603436267242768,63,0.3917820651068169,86,0.9839028167268673,13,4,8,0,15,0,0.929561126690747,MEDIUM
1156,10th,Computer Science,Medium,44,13,0.4965882467941961,34,0.45979954348358243,101,0.90024266883984,8,1,4,1,16,3,0.48409706753593607,HIGH
1157,11th,Computer Science,Low,52,188,0.7087572878443656,51,0.3840489376216207,84,0.2760907850590857,14,1,6,1,0,2,0.5477696473569676,MEDIUM
1158,10th,English,Medium,86,294,0.25784972669794964,48,0.4731367099359761,104,0.15185490896835607,1,6,1,1,6,2,0.46607529692067573,HIGH
1159,9th,Computer Science,Medium,92,182,0.5618913925885732,82,0.8587231569232563,188,0.473059849639891,13,2,7,0,8,1,0.6052239398559565,MEDIUM
1160,12th,Computer Science,High,56,35,0.482873944845265,25,0.392780873587553,86,0.6557540058111512,10,2,2,7,11,0,0.4423016023244605,MEDIUM
1161,11th,Mathematics,Medium,57,36,0.9014960338925191,46,0.9959159426054738,219,0.6787931497255353,11,2,0,0,0,1,0.4661839265568808,MEDIUM
1162,9th,History,Low,46,13,0.4866099695264158,47,0.5289684432684543,116,0.34076148536652284,14,2,7,7,9,3,0.3403045941466092,HIGH
1163,12th,English,Medium,32,122,0.5803987543615339,24,0.9453776878558302,207,0.8738928680038033,11,7,10,0,9,0,0.6588904805348548,MEDIUM
1164,12th,Mathematics,Medium,42,82,0.9597575764016401,60,0.4330231558848826,95,0.39632181728088434,3,6,10,2,9,3,0.3078620602456871,HIGH
1165,10th,History,Medium,86,158,0.3697225892871081,75,0.4315282639610812,94,0.9272031457448291,0,4,8,8,6,3,0.5815479249645983,HIGH
1166,9th,Mathematics,High,74,101,0.3600918387477472,73,0.6957349781301516,153,0.5244412611728994,6,3,7,7,14,0,0.42444317113582647,MEDIUM
1167,12th,Mathematics,Medium,56,82,0.8196355719478384,99,0.3354200594332745,73,0.10935159943765244,13,3,0,1,9,2,0.32640730644172766,MEDIUM
1168,11th,Computer Science,Medium,31,43,0.3497850875295718,37,0.8607020283449149,189,0.24583718007527158,3,7,6,3,15,3,0.19566820536344198,HIGH
1169,11th,History,High,73,67,0.8486792830658845,96,0.6077306754676377,133,0.19208733098949787,4,2,6,7,15,3,0.21950159906246583,MEDIUM
1170,10th,English,High,39,47,0.18598204842548047,62,0.7894375313469981,173,0.13962321622027687,14,1,3,8,19,0,0.3051826198214441,HIGH
1171,12th,English,High,37,56,0.20013512257852156,93,0.42224254244721354,92,0.7426155797296083,11,5,7,6,0,2,0.5183795652251767,MEDIUM
1172,9th,History,High,26,74,0.9111910367464946,48,0.7496501455503333,164,0.273084285754362,0,2,4,0,10,1,0.20790038096841149,HIGH
1173,11th,Computer Science,Low,95,21,0.5867310542341918,29,0.7158494580461855,157,0.8547578149658376,1,2,3,7,18,0,0.3832364593196684,MEDIUM
1174,12th,Science,Low,21,131,0.7469328400248149,25,0.8289628763425605,182,0.338021945932987,11,6,4,0,17,3,0.45654211170652814,MEDIUM
1175,12th,Mathematics,Medium,73,266,0.3027600026762899,99,0.5081809048556793,111,0.12909439584175733,3,7,10,8,2,0,0.44630442500336964,MEDIUM
1176,10th,Computer Science,Low,27,286,0.24964693154389747,23,0.9532159024800564,209,0.8386078095777062,1,1,1,7,14,1,0.7301097904977492,HIGH
1177,11th,History,Medium,52,119,0.8514588360093761,53,0.9729107485770123,214,0.5195312654778884,13,5,3,3,5,1,0.5398125061911554,MEDIUM
1178,11th,Mathematics,Low,65,245,0.4227610663209239,52,0.9076865278549482,199,0.6395548962420945,13,4,9,3,9,3,0.7558219584968378,MEDIUM
1179,9th,English,High,61,55,0.509529357209795,23,0.7004236363123792,154,0.40260455977740683,15,4,7,3,2,2,0.4343751572442961,MEDIUM
1180,11th,Science,High,82,37,0.1251747075478231,63,0.5942017894629453,130,0.14143635654007763,12,5,6,5,9,1,0.26590787594936444,HIGH
1181,9th,English,Low,96,244,0.4472926607736698,95,0.3405946929989684,74,0.43315938024771217,0,5,7,1,15,0,0.4985970854324182,MEDIUM
1182,11th,History,Low,52,20,0.7933940273124805,50,0.9630594610226926,211,0.566457733264215,9,7,6,3,3,2,0.37324975997235266,MEDIUM
1183,10th,Mathematics,Medium,88,109,0.8391476595575524,99,0.9662469405888567,212,0.1105179431829567,0,4,6,3,0,1,0.18954051060651603,MEDIUM
